tags,tags_time,codesize,codesize_no_tests
v1.8.3,2018-09-11,14304,10667
v1.8.2,2018-05-07,13934,10502
v1.8.1.2,2018-01-14,12872,9748
v1.8.1,2018-01-12,12873,9749
v1.8.0,2017-08-17,12622,9411
v1.7.5,2017-01-03,11605,8623
v1.7.4.2,2016-11-22,11180,8169
v1.7.4,2016-11-21,11179,8168
v1.7.3,2016-11-16,11193,8137
r131,2015-06-29,9266,9266
r130,2015-05-26,8991,8864
lz4-r130,2015-05-26,8991,8864
rc129v0,2015-05-07,8824,8824
r129,2015-05-07,8824,8824
r128,2015-03-31,8301,8301
r127,2014-12-19,7612,7612
r126,2014-12-19,7612,7612
r125,2014-12-11,7603,7603
r124,2014-11-06,7993,7993
r123,2014-09-25,7143,7143
r122,2014-08-28,5648,5648
r121,2014-08-07,5170,5170
r120,2014-07-24,5181,5181
r119,2014-07-02,4858,4858
r118,2014-06-26,4772,4772
r117,2014-04-23,3951,3951
r116,2014-04-06,3907,3907
